TDS,Turbidity,pH,Temperature,Humidity,Result
273.69,95.07,6.72,35.92,46.76,Medium
287.91,86.46,5.71,6.52,5.0,Medium
191.93,79.35,1.52,15.72,33.24,Medium
456.64,67.24,6.12,64.4,61.23,Medium
418.75,22.41,2.57,42.14,90.96,Medium
113.4,73.6,5.02,56.47,26.27,Medium
327.93,70.93,2.11,56.92,48.92,Medium
340.35,2.55,1.34,53.35,5.19,Medium
39.31,63.52,1.02,44.41,27.2,Medium
233.85,24.3,1.63,25.63,37.09,Medium
392.56,78.68,7.24,57.02,11.43,Medium
333.07,0.27,5.76,29.39,78.37,Medium
429.19,60.9,5.94,86.62,33.69,Medium
488.83,16.14,5.69,37.77,68.35,Medium
479.25,29.43,0.8,54.08,89.16,Medium
18.26,13.92,5.48,30.79,42.54,Medium
66.57,17.72,2.68,32.75,81.71,Medium
3.8,74.5,7.36,64.26,74.91,Medium
301.06,94.48,7.51,92.79,66.82,Medium
416.62,41.89,2.18,0.16,6.87,Medium
438.99,24.66,6.72,81.6,77.09,Medium
254.94,73.56,7.7,12.01,34.97,Medium
423.33,59.18,2.5,61.28,6.51,Medium
418.44,0.81,7.06,43.81,90.19,Medium
59.02,79.28,1.62,27.2,85.5,Low
181.52,46.86,0.57,13.92,29.18,Medium
126.69,87.94,2.03,63.0,42.06,Medium
178.08,0.89,0.15,29.37,70.03,Low
61.17,98.34,6.74,77.75,17.86,Medium
344.12,89.18,4.54,35.36,33.43,Medium
20.8,22.47,5.8,62.23,50.04,Medium
50.65,46.86,7.2,74.55,44.15,Medium
293.52,42.87,2.04,24.39,68.36,Medium
421.44,44.7,2.8,56.9,68.32,Medium
294.29,38.9,3.09,17.93,41.01,Medium
243.09,20.48,7.18,61.9,40.07,Medium
406.47,82.86,1.04,70.72,7.33,Medium
16.92,39.6,6.97,3.35,97.5,Medium
150.54,86.37,5.7,51.23,34.89,Medium
291.77,55.7,0.01,69.09,19.78,Medium
25.91,91.24,0.52,9.71,55.16,Medium
138.06,43.45,5.19,36.53,11.38,Medium
115.09,39.46,6.37,35.37,99.89,Medium
486.99,76.93,1.35,0.08,51.81,Medium
62.84,12.06,2.98,61.36,4.9,Medium
152.54,4.83,4.96,14.9,23.73,Medium
495.61,54.47,0.1,37.54,5.52,Medium
208.99,29.19,2.7,38.39,78.61,Medium
217.52,6.65,7.62,22.23,70.97,Medium
278.18,14.66,4.74,23.8,0.48,Medium
453.89,35.01,4.42,48.62,22.32,Medium
116.28,99.62,7.06,82.76,27.91,Medium
208.66,6.73,6.34,59.01,59.54,Medium
304.08,34.11,3.61,68.06,66.67,Medium
336.73,46.63,0.29,67.99,29.27,Medium
487.23,15.58,6.29,32.83,88.38,Medium
28.73,32.16,4.01,42.85,46.02,Medium
75.16,70.37,7.71,20.7,60.11,Medium
49.34,96.9,3.21,93.59,74.58,Medium
222.14,94.94,6.48,74.49,28.09,Medium
10.47,93.63,2.71,7.75,28.87,Medium
31.63,44.58,6.04,18.81,69.59,Medium
251.75,74.45,4.58,16.9,97.57,Medium
174.57,90.81,2.07,91.24,33.87,Medium
328.65,93.91,3.68,5.16,67.91,Medium
266.74,64.96,5.68,33.14,44.62,Medium
389.24,4.22,1.84,92.58,28.22,Medium
483.44,19.59,3.83,60.43,59.76,Medium
27.29,40.02,6.42,50.74,59.06,Medium
210.64,71.89,5.81,29.69,33.91,Medium
422.29,25.15,3.9,79.48,40.32,Medium
260.05,36.57,1.65,5.76,58.96,Medium
174.2,47.49,4.46,82.46,51.4,Medium
241.01,21.1,6.33,44.85,28.17,Medium
427.46,9.55,7.08,48.65,1.65,Medium
187.28,61.8,5.02,58.27,30.73,Medium
333.43,65.07,7.0,42.85,96.29,Medium
320.72,81.19,3.48,40.58,51.8,Medium
340.92,3.39,5.35,70.03,27.83,Medium
95.67,41.7,7.9,93.61,7.42,Medium
281.35,65.5,0.94,34.44,50.19,Medium
227.18,72.61,0.08,95.99,68.45,Medium
305.73,83.28,3.74,92.55,85.79,Medium
15.79,87.57,4.31,50.77,56.5,Medium
208.24,16.12,7.9,70.31,67.31,Medium
198.12,58.11,2.01,66.35,70.32,Medium
498.05,81.29,3.22,56.59,66.41,Medium
275.38,82.72,6.36,15.89,0.09,Medium
161.1,59.2,5.06,97.34,23.85,Medium
263.71,49.06,0.62,79.8,8.19,Medium
342.95,95.52,5.37,52.08,22.78,Medium
205.62,46.2,0.66,63.38,72.87,Medium
258.96,84.69,4.98,97.12,39.88,Medium
208.49,91.35,3.67,94.62,7.85,Medium
294.32,6.78,0.17,33.48,69.36,Medium
284.6,46.32,6.15,8.94,72.39,Medium
333.98,41.25,5.28,85.62,53.93,Medium
457.25,63.54,1.83,82.21,84.44,Medium
485.45,22.69,5.85,78.85,0.51,Medium
438.76,14.92,7.45,76.91,10.03,Medium
467.82,70.41,6.22,84.03,70.9,Medium
204.6,86.46,5.93,14.71,7.84,Medium
379.66,99.1,5.57,17.69,57.16,Medium
107.78,74.36,4.54,33.58,73.25,Medium
96.79,35.93,7.53,97.14,64.12,Medium
374.22,9.4,1.35,12.96,45.88,Medium
244.81,37.45,1.82,24.14,90.11,Medium
219.14,99.09,0.2,82.57,74.54,Medium
128.25,51.22,0.85,52.5,73.94,Medium
72.67,49.81,4.43,58.63,93.07,Medium
97.88,0.71,1.03,87.84,1.05,Medium
35.59,46.63,1.97,86.02,91.94,Medium
52.49,17.89,4.24,47.57,73.02,Medium
41.72,94.8,0.31,22.93,50.79,Low
345.77,16.07,7.4,5.4,44.9,Medium
155.35,64.56,5.56,55.84,40.55,Medium
157.35,99.36,3.1,87.34,48.04,Medium
480.09,88.54,0.86,5.22,93.92,Medium
346.9,80.36,3.1,34.11,41.7,Medium
97.56,29.28,2.84,58.26,36.67,Medium
255.06,71.06,0.52,99.31,57.85,Medium
13.35,99.19,0.91,65.38,43.03,Medium
111.55,94.19,5.92,50.39,49.59,Medium
223.68,39.66,7.83,76.31,16.53,Medium
440.58,62.4,2.48,49.35,7.36,Medium
396.78,19.04,6.75,41.47,18.44,Medium
142.27,37.6,6.92,2.02,73.91,Medium
257.87,82.89,1.83,1.48,82.41,Medium
166.43,89.54,0.13,94.68,96.61,Medium
436.78,88.03,1.51,20.07,14.85,Low
202.22,30.32,2.7,71.43,54.69,Medium
124.9,76.18,7.22,99.39,59.18,Medium
329.26,62.01,1.77,91.49,25.45,Medium
497.66,1.18,4.18,92.58,10.42,Medium
350.16,69.52,2.39,10.1,9.6,Medium
243.55,73.19,0.48,62.22,39.98,Medium
400.38,70.71,2.97,98.51,62.39,Medium
36.78,21.92,1.63,83.46,53.57,Medium
331.95,12.33,1.16,72.52,70.12,Medium
386.9,68.88,3.58,0.57,23.56,Medium
132.6,29.08,6.46,66.19,37.39,Medium
7.34,45.37,3.73,82.29,57.19,Medium
313.71,40.79,5.07,68.9,76.3,Medium
59.7,90.6,6.47,44.36,74.51,Medium
210.6,17.9,2.49,20.52,71.83,Medium
463.12,75.94,1.07,4.73,0.23,Medium
235.55,54.13,5.11,87.99,71.22,Medium
9.85,34.52,7.52,43.28,70.66,Medium
176.76,68.15,5.04,13.3,29.42,Medium
38.84,27.19,1.28,10.64,3.47,Medium
363.85,84.48,2.31,55.08,66.91,Medium
217.95,20.33,7.19,18.62,83.74,Medium
41.72,36.41,3.18,88.41,19.0,Medium
352.08,63.65,4.63,78.64,66.62,Medium
10.27,37.17,6.04,75.72,82.05,Medium
147.94,75.19,6.92,15.28,40.33,Medium
285.59,49.53,6.08,68.27,47.21,Medium
469.81,68.08,7.19,12.27,13.97,Medium
22.98,3.28,1.0,66.97,56.85,Medium
298.39,78.15,4.08,28.31,32.99,Medium
471.89,94.12,2.96,40.1,81.14,Medium
285.61,83.0,6.0,68.48,79.03,Medium
420.0,95.28,6.2,66.16,31.83,Medium
281.23,81.69,7.37,54.09,82.29,Medium
360.47,23.47,6.59,87.86,33.97,Medium
281.3,89.45,2.63,64.57,85.67,Medium
283.59,21.66,6.94,31.41,70.68,Medium
401.19,48.34,3.3,29.62,8.55,Medium
173.34,67.28,5.09,80.97,22.17,Medium
181.69,64.47,3.74,75.5,60.63,Medium
47.77,3.51,6.01,43.89,33.48,Medium
262.12,63.08,5.61,61.52,53.82,Medium
301.49,53.33,3.15,16.29,99.39,Medium
90.91,75.41,4.1,21.47,43.29,Low
145.97,65.01,0.93,79.54,66.55,Medium
335.88,57.36,0.03,72.43,99.22,Medium
492.58,97.29,6.54,7.51,73.62,Medium
496.25,32.3,7.17,71.69,14.7,Medium
266.39,99.58,1.76,41.62,28.44,Medium
436.35,46.07,3.89,64.33,93.03,Medium
277.73,87.65,7.46,95.79,30.06,Medium
357.38,17.56,7.14,50.47,40.33,Medium
83.07,37.63,0.12,43.28,60.48,Medium
329.39,85.2,7.55,72.19,44.79,Medium
163.45,77.57,5.7,31.47,55.63,Medium
494.17,88.13,7.27,31.76,60.6,Medium
200.27,34.26,3.19,25.46,56.4,Medium
379.99,23.31,3.04,42.93,47.16,Medium
391.73,91.39,3.56,27.03,85.71,Medium
239.12,28.27,1.43,98.18,54.11,Medium
425.56,79.87,6.17,32.39,21.76,Medium
216.6,99.66,5.92,52.58,19.78,Medium
391.72,85.37,1.22,78.46,21.42,Medium
436.36,84.08,0.13,65.52,25.07,Medium
494.15,6.35,5.87,26.34,3.08,Low
384.98,36.98,6.11,7.2,53.21,Medium
308.82,64.59,4.23,96.59,95.66,Medium
11.13,59.3,5.35,84.31,31.34,Medium
310.59,49.18,4.09,16.14,46.27,Medium
466.91,46.31,0.8,30.57,80.82,Medium
70.62,6.75,1.95,35.83,52.61,Medium
192.66,20.99,1.19,58.36,43.25,Medium
311.41,0.37,6.06,3.7,69.89,Medium
398.9,9.98,1.3,75.2,38.45,Medium
202.82,13.82,5.51,79.3,65.95,Medium
317.4,12.89,7.27,79.96,1.06,Medium
393.54,29.12,0.56,47.78,68.63,Medium
144.36,73.66,5.5,91.79,84.76,Medium
44.72,30.58,6.3,98.8,28.45,Medium
366.98,48.34,5.34,70.74,20.22,Medium
35.95,55.75,4.05,14.77,97.09,Medium
90.89,24.04,3.54,13.81,22.38,Medium
306.29,48.06,4.14,88.32,4.85,Medium
166.24,38.61,1.75,21.31,42.34,Medium
437.63,29.31,1.05,38.67,89.36,Medium
227.49,53.61,1.24,30.29,36.18,Medium
279.16,58.08,7.66,61.09,40.54,Medium
207.27,20.76,5.16,99.02,76.7,Medium
486.65,1.32,3.76,25.84,63.01,Low
273.78,47.32,5.44,43.3,65.11,Medium
51.4,20.6,4.57,57.38,86.36,Medium
392.08,69.47,7.44,5.71,4.74,Medium
205.53,80.79,7.84,65.75,15.52,Medium
181.5,76.08,7.53,88.25,21.77,Medium
178.15,29.08,6.23,94.91,5.92,Medium
419.99,32.22,4.19,98.34,39.69,Medium
391.06,41.71,2.83,64.76,26.07,Medium
66.25,53.54,1.74,95.76,51.82,Medium
349.02,15.59,5.0,81.58,0.92,Medium
224.13,20.64,3.69,89.07,64.62,Medium
278.2,35.48,7.26,88.05,8.91,Medium
155.58,46.78,1.31,75.46,53.03,Medium
3.53,67.7,0.06,59.11,94.99,Medium
400.4,82.34,0.12,32.7,6.73,Medium
59.87,39.04,6.17,26.96,23.2,Medium
134.48,10.53,2.09,35.04,19.59,Medium
68.3,68.98,6.36,95.82,14.15,Medium
392.94,9.98,7.08,3.34,53.42,Medium
419.75,58.31,7.69,20.93,64.83,Medium
180.11,65.86,6.14,90.39,75.38,Medium
451.24,60.82,3.75,63.13,67.93,Medium
135.77,18.58,3.39,25.0,35.22,Medium
99.2,39.66,2.54,34.31,77.37,Medium
419.21,31.02,3.16,14.85,48.32,Medium
466.99,77.34,4.44,87.91,83.72,Medium
163.28,70.48,2.05,97.4,98.54,Medium
90.76,52.18,1.66,62.81,94.18,Medium
478.51,68.39,3.73,73.32,57.71,Medium
312.94,77.95,3.44,96.16,61.97,Medium
13.74,63.29,5.39,77.37,77.25,Medium
42.43,35.94,4.81,38.22,21.25,Medium
297.57,19.56,3.86,44.22,61.71,Medium
383.56,10.29,5.9,44.94,1.25,Medium
222.95,96.94,0.89,29.01,41.96,Medium
133.39,37.12,7.41,83.79,19.99,Medium
259.98,36.79,5.89,26.51,92.38,Medium
426.75,6.4,2.36,48.72,28.46,Medium
89.05,81.19,5.08,79.1,77.13,Medium
200.63,37.25,6.02,79.14,56.06,Medium
66.74,3.67,3.53,92.32,44.78,Medium
379.85,25.84,1.7,94.54,71.16,Medium
363.59,80.55,5.71,22.79,72.63,Medium
469.12,53.6,3.97,68.94,42.89,Medium
382.48,82.14,5.25,6.51,23.97,Medium
258.72,46.55,0.61,8.29,87.07,Medium
28.07,52.18,6.05,90.23,17.26,Medium
342.37,41.19,0.8,49.11,62.78,Medium
470.94,23.73,3.76,38.49,89.82,Medium
149.64,55.74,3.5,2.29,85.92,Medium
324.78,42.47,2.63,46.62,28.97,Medium
308.55,20.2,1.85,81.8,63.23,Medium
77.23,98.37,4.58,44.81,33.59,Medium
424.65,91.12,6.45,58.58,62.57,Medium
43.45,36.45,3.97,72.64,82.04,Medium
415.84,22.86,1.28,86.31,28.22,Medium
45.22,24.86,0.09,43.84,48.3,Medium
258.52,3.92,4.75,21.41,36.1,Medium
361.13,16.96,6.84,24.72,33.8,Medium
56.73,46.79,7.46,24.02,27.76,Medium
75.17,14.87,1.66,99.82,41.05,Medium
344.28,50.32,3.08,81.79,65.14,Medium
18.27,20.6,2.65,39.22,14.16,Medium
265.56,34.39,0.08,94.58,34.55,Medium
122.79,37.15,2.2,41.49,67.88,Medium
55.95,25.23,1.08,45.7,8.78,Medium
72.82,72.1,7.26,64.07,80.41,Medium
3.66,33.89,0.57,48.28,75.16,Medium
247.94,7.49,0.69,96.51,2.47,Medium
486.05,40.22,7.48,86.36,8.14,Medium
25.76,66.52,1.88,66.12,31.18,Medium
460.35,79.82,7.59,71.05,97.38,Medium
387.21,85.13,3.0,25.28,20.27,Medium
397.26,87.37,4.64,27.11,42.28,Medium
461.28,94.68,3.52,41.05,37.28,Medium
352.69,99.42,6.53,14.95,78.62,Medium
425.1,66.57,3.63,0.18,68.3,Medium
226.44,48.67,4.15,66.61,58.03,Medium
440.22,7.4,1.16,78.37,41.16,Medium
268.02,39.11,0.31,52.76,83.74,Medium
70.78,66.57,5.9,61.02,43.91,Medium
94.03,94.97,0.01,74.65,56.03,Medium
9.47,47.82,0.62,86.44,34.88,Medium
17.65,64.73,7.18,19.35,11.54,Medium
160.06,52.4,3.51,28.35,53.21,Low
38.05,27.06,6.76,23.99,4.77,Medium
497.83,49.33,5.4,42.21,37.97,Medium
352.02,62.44,0.99,12.36,11.21,Medium
294.96,79.53,6.5,55.38,43.04,Medium
486.28,78.37,1.0,80.85,32.04,Medium
90.87,70.38,0.88,71.89,42.34,Medium
320.4,58.24,1.66,59.6,9.46,Medium
447.55,12.66,3.66,6.61,34.21,Medium
35.07,8.95,6.99,92.8,93.14,Medium
153.66,97.63,3.27,64.15,47.2,Medium
353.58,19.52,0.1,58.71,27.66,Medium
128.82,74.37,3.07,42.52,40.21,Medium
289.68,23.36,7.6,60.92,64.28,Medium
183.51,36.38,3.2,56.18,52.91,Medium
54.79,9.38,4.4,61.91,58.42,Medium
305.53,97.3,6.39,60.32,86.55,Medium
303.38,76.91,4.23,31.58,97.2,Medium
472.53,81.84,7.97,29.94,63.91,Medium
68.75,69.03,2.56,37.37,80.86,Medium
54.98,43.66,7.41,96.23,98.1,Medium
374.18,96.86,1.38,33.41,13.11,Medium
388.29,63.59,3.17,38.12,86.98,Medium
237.17,36.9,1.35,60.8,32.29,Medium
363.76,4.71,6.42,15.73,96.01,Medium
274.13,35.09,4.3,62.08,46.66,Medium
249.61,41.43,2.04,76.96,9.45,Medium
322.87,63.84,1.05,25.27,47.25,Medium
65.78,83.19,1.56,57.33,13.77,Medium
10.18,83.44,6.3,0.79,39.77,Medium
281.15,44.86,2.41,75.73,98.84,Medium
121.67,4.88,5.34,30.1,59.4,Medium
101.5,14.83,4.49,28.48,56.13,Medium
100.75,69.21,7.85,62.07,14.82,Medium
82.14,37.53,2.75,4.7,4.15,Medium
107.09,45.83,3.24,21.22,49.5,Medium
165.18,82.89,3.23,65.85,40.75,Medium
494.22,18.43,7.08,82.03,2.57,Medium
141.26,43.0,4.15,3.13,49.09,Medium
182.04,69.74,0.96,16.68,90.18,Medium
405.99,61.72,5.32,91.24,62.09,Medium
292.55,29.45,2.42,86.38,25.01,Medium
209.93,79.29,7.19,19.42,18.62,Medium
419.34,18.93,6.78,1.47,19.38,Medium
2.49,16.1,3.56,90.18,68.65,Medium
369.01,8.84,2.02,98.09,67.83,Medium
166.26,14.05,2.57,96.95,68.38,Medium
125.39,6.72,6.1,88.13,96.49,Medium
253.61,15.96,2.19,87.96,6.35,Medium
234.14,38.21,7.3,44.71,36.92,Medium
147.44,48.34,0.05,85.96,27.23,Medium
364.84,35.51,1.7,11.96,8.67,Medium
234.51,27.05,7.85,58.04,89.33,Medium
448.44,58.23,4.13,62.51,94.63,Medium
218.75,33.18,3.13,30.8,42.52,Medium
378.67,15.64,4.5,84.96,90.07,Medium
91.89,64.55,0.9,29.81,19.2,Low
452.67,51.36,3.84,58.32,90.48,Medium
22.39,4.77,6.57,41.17,93.7,Medium
146.99,81.12,5.86,73.55,52.06,Medium
96.0,15.39,0.48,30.82,16.25,Medium
455.56,4.62,0.17,52.09,75.55,Medium
277.25,54.6,2.84,60.74,58.74,Medium
165.6,55.65,4.15,81.86,8.72,Medium
123.14,64.2,7.89,14.54,44.46,Medium
62.4,42.8,7.46,96.84,39.13,Medium
85.46,64.08,0.15,63.66,17.52,Medium
16.51,82.25,0.8,59.28,0.76,Medium
305.36,34.2,7.6,78.39,17.58,Medium
146.38,48.49,4.81,78.79,73.22,Medium
51.5,87.22,0.88,19.49,28.16,Medium
210.17,67.0,4.54,67.59,18.96,Medium
248.18,34.99,4.86,51.59,3.34,Medium
306.27,93.94,6.24,5.37,86.34,Medium
114.99,74.06,7.85,1.58,85.79,Medium
259.15,24.98,5.22,96.38,66.3,Medium
456.82,8.24,6.81,73.42,13.13,Medium
137.25,82.15,7.67,58.48,92.11,Medium
461.05,49.17,6.27,38.42,65.83,Medium
337.53,22.0,4.75,0.74,83.82,Medium
413.47,41.63,1.84,58.65,56.47,Medium
436.58,56.58,6.83,74.66,20.23,Medium
185.84,72.47,4.39,91.3,24.83,Medium
126.32,40.06,7.38,30.28,74.73,Medium
361.78,20.42,7.1,3.7,27.01,Medium
221.12,92.63,3.7,38.23,14.03,Medium
218.71,35.53,7.02,1.4,19.39,Medium
150.51,27.63,4.01,24.82,93.78,Medium
260.23,23.66,6.52,89.62,24.75,Medium
318.25,13.15,7.49,82.64,2.71,Medium
132.61,12.02,5.59,65.7,85.21,Medium
158.73,30.55,6.71,56.83,36.85,Medium
233.55,56.48,7.64,77.44,27.62,Medium
232.33,80.91,4.36,80.71,12.25,Medium
330.91,14.7,3.74,29.35,63.38,Medium
343.73,23.58,5.54,91.93,77.82,Medium
439.73,86.72,6.63,26.74,20.55,Low
80.5,99.31,6.35,14.13,51.28,Medium
195.45,82.98,5.16,59.07,66.96,Medium
270.24,13.31,0.85,50.03,90.12,Medium
411.83,14.77,7.76,64.33,69.53,Medium
258.15,44.3,5.42,47.05,89.87,Medium
224.22,78.74,4.58,7.26,43.83,Medium
422.35,13.06,2.09,64.03,55.79,Medium
406.62,38.98,6.8,83.52,80.4,Medium
282.71,64.6,5.27,58.21,11.66,Medium
338.04,83.91,4.47,25.19,82.03,Medium
63.57,74.58,4.68,42.94,61.73,Medium
339.78,19.59,5.3,51.25,44.87,Medium
429.22,22.51,5.25,62.29,9.71,Medium
296.01,88.8,5.62,35.74,50.33,Medium
338.95,0.34,3.96,31.01,38.59,Medium
259.3,12.97,3.16,22.5,13.41,Medium
206.43,53.36,1.6,52.01,78.89,Medium
492.45,77.17,1.42,89.18,59.38,Medium
245.68,63.12,5.73,25.44,51.88,Medium
393.06,44.71,3.99,84.63,47.61,Medium
495.5,13.83,4.18,54.75,47.7,Medium
51.78,99.75,0.27,49.21,96.06,Medium
380.64,8.44,6.03,68.0,57.69,Medium
86.39,87.94,4.55,48.24,21.26,Medium
137.56,38.99,2.56,56.18,89.79,Medium
28.22,66.4,7.58,60.43,83.0,Medium
205.33,63.08,6.6,80.77,9.34,Medium
53.67,65.05,0.78,37.61,81.06,Medium
450.84,35.07,7.33,21.49,89.4,Medium
438.08,27.54,4.37,92.37,7.94,Medium
48.3,67.31,1.23,12.23,52.41,Medium
409.48,18.33,3.26,5.16,68.62,Medium
347.14,60.47,3.87,1.45,81.64,Medium
39.08,47.58,4.87,30.99,5.79,Medium
59.09,63.42,5.72,18.22,84.5,Medium
439.52,93.86,3.72,23.57,89.61,Low
182.86,15.13,4.94,26.81,95.08,Medium
101.34,41.57,0.96,56.71,39.42,Medium
234.73,27.78,2.12,16.39,81.65,Medium
302.77,5.39,5.93,76.62,27.97,Medium
434.45,76.9,5.72,95.5,41.81,Medium
235.65,29.11,1.3,31.49,83.82,Medium
247.42,26.44,7.47,67.43,79.51,Medium
460.0,94.06,2.96,95.67,40.36,Medium
485.55,30.57,6.97,88.16,81.53,Medium
242.05,91.31,7.92,14.33,5.68,Medium
238.53,82.39,0.24,22.52,77.02,Medium
478.64,71.88,0.04,15.43,42.55,Medium
118.38,69.48,3.98,74.21,53.48,Medium
211.71,24.65,6.05,38.87,62.31,Medium
322.14,20.68,3.28,97.72,21.46,Medium
486.33,47.86,1.44,86.31,5.47,Medium
6.69,32.02,4.74,30.89,49.57,Medium
99.24,10.44,5.61,64.82,10.05,Medium
60.97,78.09,0.16,58.95,85.26,Medium
432.11,88.14,3.61,10.69,22.26,Medium
445.86,62.98,4.06,40.44,78.26,Medium
44.88,3.71,7.21,51.18,50.94,Medium
347.98,71.24,3.03,83.27,27.51,Medium
53.62,50.86,7.58,49.16,31.36,Medium
10.38,21.11,6.92,10.2,50.4,Medium
497.12,54.51,0.45,43.78,68.45,Medium
178.2,71.45,7.79,73.22,10.4,Medium
247.57,81.26,7.65,84.37,90.77,Medium
489.27,50.22,6.78,93.01,7.6,Medium
402.25,21.31,4.1,87.48,8.25,Medium
126.95,36.26,7.09,98.07,64.36,Medium
74.97,85.75,1.51,98.7,85.09,Medium
462.9,66.04,1.52,38.27,92.38,Medium
398.29,57.87,2.36,26.06,61.32,Medium
456.1,74.35,7.22,21.95,80.1,Low
360.0,78.77,6.82,82.35,72.29,Medium
426.17,9.26,1.25,8.67,50.88,Medium
464.32,61.06,3.42,78.42,61.81,Medium
337.32,19.35,3.16,50.14,80.34,Medium
137.49,94.39,0.84,88.66,80.96,Medium
203.56,94.62,1.09,67.47,14.35,Medium
353.71,70.27,7.61,88.65,1.19,Medium
345.69,75.48,5.71,63.67,38.11,Medium
469.91,74.35,3.55,32.57,78.02,Medium
271.18,65.95,0.43,62.17,55.62,Medium
314.78,33.1,3.14,38.24,56.96,Medium
3.12,96.3,7.02,98.05,74.72,Medium
363.73,60.35,6.77,12.91,8.45,Medium
198.82,28.56,3.02,52.06,18.46,Medium
28.14,72.51,3.38,27.71,70.78,Low
179.32,29.38,1.74,19.13,56.35,Medium
377.47,69.84,2.9,35.23,69.54,Medium
347.28,55.72,0.99,64.15,37.49,Medium
398.38,50.51,1.44,82.74,21.25,Medium
411.07,55.72,6.87,5.24,13.95,Medium
135.94,25.22,4.22,8.73,78.53,Medium
356.57,1.05,1.43,83.68,92.73,Medium
81.22,19.69,4.92,10.75,36.53,Medium
253.18,76.57,3.26,43.26,69.67,Medium
434.78,90.97,1.67,91.68,92.76,Medium
276.78,7.32,2.71,47.08,67.34,Medium
338.13,76.02,4.76,36.38,20.86,Medium
412.41,89.65,0.77,29.99,21.77,Low
50.49,95.46,6.36,67.88,60.93,Medium
169.97,48.98,0.56,91.87,92.7,Medium
367.6,10.59,5.85,62.8,18.31,Medium
26.69,37.44,6.42,90.41,53.57,Medium
73.16,42.2,2.92,27.28,14.68,Medium
199.24,95.88,7.38,27.34,13.07,Low
286.35,55.4,7.1,72.77,95.06,Medium
418.47,95.49,1.33,14.18,62.14,Medium
320.07,9.33,6.58,74.74,67.02,Medium
12.21,66.55,0.95,69.35,40.15,Medium
145.59,92.41,3.52,16.45,99.06,Medium
103.33,48.67,1.71,8.08,89.77,Medium
205.15,84.75,0.94,10.56,85.61,Medium
437.64,22.2,7.34,40.39,45.22,Medium
319.86,1.16,6.39,58.65,75.85,Medium
278.21,93.06,7.97,50.56,49.69,Medium
494.74,34.68,4.96,53.8,63.73,Medium
242.39,85.58,6.95,67.81,3.23,Medium
367.85,33.8,2.25,53.23,13.6,Medium
154.18,8.54,0.29,29.49,32.97,Low
469.45,32.63,6.87,72.95,25.97,Medium
388.25,5.58,0.26,23.73,67.45,Medium
